relative_path	sha256_before	sha256_after	style_version_before	restores_timeline_class
404.html	93d07576fa6eeb126218107b3eda1a2d1c1f8c21a8b59b2f2d812e5f9fdd7df2	624a20c17d91aa75693faf0ea288c915d9303283ed2b5fba50737792d61f34ee	?v=20260714-release	no
about.html	3ab1afef65dea798701c485137780dfde2867e73fa791e5f16734ed32bc05712	11214ee09d53d46e4fef77d901e120712405ebbb0575f7ab229b8028fbf5cc8d	?v=20260713-public-pages	no
contact.html	7f8f1e1a86d05b036fbd08611d8263c34a08014de85c73ce1211136a21011b5c	c4efafc2c042f4a29ad105807b9626159c81012ce054c4d9fb69dd5401c041b8	?v=20260713-public-pages	no
index.html	95dcacf8fe2e072e642a75db67c4abb6d43a885a305031970c61e33729d86098	921f0259c2296bd0e1635fd8e326fb152a358f03016b06660a82462d63e700a6	?v=20260713-public-pages	no
posts/2024-report.html	947fcce2d351dda8ec13e78cf7be8c4827fdbf5856a535c56d4528d2487030d0	d9bf6676c224c2c26a6c8c1d36d50b2dcc3ee244d02424f7442f8b3a004fcf56		no
posts/2026-report.html	333139c2a2fe001208ba8e35d6464f95c0677b298b38e3b76d7470f4e264efac	493ae3860e048470533f57a830c8989a2487571d0476c24dbad3a2524b76f397	?v=20260708-speechcases	no
posts/709-crackdown.html	ade759bbbbb358e33b6b1226b52ced01bdd70c6638e91f5c7b13f00df0c707d4	6efdf9535e70b10f41958b0a8f0d2b5c72dc1fcdcdde2f4c638e0216fa6f4b95		no
posts/ai-weiwei.html	318b237a70e3869ed0f0c2aba73affb500033d2c359bc5f515577839014adae0	e51686e3abaacc5c39f6069c11e60e3c84f578a4ec187d40d2a1abf661fc43ec		no
posts/causeway-bay-books.html	dfa0037b3963b30fc6720ee6ba2fe583a7d241e4a1e9a124e9cea7961c249f49	7c60cd1afbbaf2afe8e40df90f0fc0ad4bdaaa348f9c7b90007d9d83d00143a2		no
posts/chen-guangcheng.html	dd69a089a3b105fd0c080a5d2c681b0dc54d83de8975792917a2b48f74f25d26	e869ac5fd02d9008af30ee31eb5d344e76972eaf2b9ca1dce03eb63252c99792		no
posts/chen-qiushi.html	990a6a9f8dba1dd5d4e81e53265b26f2480de9a37e3f737f0cd27612c227b65e	ca01cf03f648f75d2d7afb89874c89e357052efa62e3291e27badf6d44f1fbea	?v=20260708-speechcases	no
posts/china-dissent-monitor-2025.html	edf7c13d4f668ec537aca626cfcd9259b457c5ff638ed88f11ad1a230806b0e6	aad3ddaa2d32359a89dccb1849df9dbed386f8b28ca5576a3c0b812ade9e09fa	?v=20260708-speechcases	no
posts/china-human-rights-cases-supplement-2026.html	a0587634faa85d99a667b6b26417b1c60bdc16df2040157ff2721ae0947ad709	84bc1b1111e29a0ab9c8d4dccc9bab9a201c6df6baf0894de8a64e4aec390603		no
posts/cultural-revolution.html	567488675845772d705dbb2f604e7134ccdb270e68e061a951a11fe65d078ea3	3c33ab0c7b2f3a32ea883556160ea24bd0088deddf53146c729cff3f31e9ad2f		no
posts/dalai-lama-exile.html	31286d641a301607e0c59da3586348139681b8e86334df4ccc821df28eb56d68	e7b5b6447464b135c8e31b858bafc462cd296a48a521d9671a2c8b280de49270		no
posts/digital-surveillance.html	93550d16397f11410b4ed46010531a3c34f9a7fa0668d477883ff43c53c06f58	a85e3910947238ea2e3d8aa85a84b4268266485941b3e12249e9e8285755bcd1		no
posts/dong-yaoqiong-ink-protest.html	bb357ff930324734dbd4d05481b3ef413661e227f5f965f8623765b58371d173	89651d0eb93da89fc3186d748e2d31a7061b4fdcee58dc3ba367a9f028e59ef5	?v=20260708-speechcases	no
posts/falun-gong-persecution.html	f0dfbecf406c950ea3cf64bf665defb349212fbf05eca44f304d940ec02cf59e	c7ccd43c3df8e6d98df4fd3c5bba08c5ce3ad15d1e4d0e8c3e4c1b97f823cfb6		no
posts/fang-bin-citizen-journalist.html	b32647ca253f3e793a3b670f4c6951e8a5dadb1d451b0bd67c7d7992b62c4e54	2bf6ce6f7168ead548b0a0a45c81e47448b2d866b9952c59ffde4dfc031e40b6	?v=20260708-speechcases	no
posts/feng-county-chained-woman.html	de0ec4aeefad9594259e8ca2ea609e37d3d529019a8893944a43cca8f7e09b6a	72081f2a3c4a6a17191b213dc3a14697772709adaf8177a2ffaed3e601f75193		no
posts/gao-yu.html	74ca805e8081c8d92e57314e04630214589ef54a6866c7b7dd822cbff8b4c2ec	b480dc1eb763be8791bb8acaea2b90d3393855d11eb2c5600e2d402311611320	?v=20260708-speechcases	no
posts/great-leap-famine.html	851b5ac946aa4d8437c8b9db9fa59284d0253331a888f79acafdc8b06157fb4c	8305948dd3f4af14027d68ab6264f8299d592e0105f01c5be95066fab79397ff		no
posts/guangzhou-haizhu-lockdown-protests.html	face8155829077be9eee2a4ea13c988c676ed1122c91c2992b4ab46555380643	d4863b49966256556b987796a3afbdb740c25bbc06379421e450ee7511660f2c		no
posts/guiyang-quarantine-bus-crash.html	cbd6c4836f73eea7962d9c88f0605de99c67c06ed9b2a518c9b0e46b96db755e	143b0af625519639077c3089075e8fc28f8eecdc427adfbffa110c465597d8d2		no
posts/henan-bank-depositor-protests.html	299fc9ddae20a50a4b48dd9838737e3530c04c35032722e314fa7988da82b2b3	a6c5a47637495e84a8e534e6b1a1dd49548811d6e1eb3a0f491d582479c1bc49		no
posts/hk-12.html	c1054305dfb0843e810ffab6a37101b466e3d6b88e4e921855c603cbcfbecba5	cf0d93667de438156e2516f980fc03c9f8a8c4d9913f34563db63b3c99ba2dc3		no
posts/hk-47.html	db35a8d1075b4f1ebf61c109aa828bd3a7d6c6abb946e92305aaf93e8fcbad58	0d03f9b8a4d35451eb1e712b3ffc8829a4f9d20790489d208e3d2b78e983a5cb		no
posts/hong-kong-nsl.html	b323331244e800b77ab909146399ce4fb17a2b2be989f8d7f3507d6821aa03b7	bf3937374f2265e3b689c1b6a0c4af46ecca84f764b8c74ddf1ef025372ff566		no
posts/hong-kong-update-2026.html	aba42faa99ddf4158d6f773a994c970386e0f7b977f130442fe12a768d741a97	55af67f90d0895913126de66df9abd0d3234091c9667be421e59d24ef94da40c	?v=20260708-speechcases	no
posts/hu-xinyu-disappearance.html	b385e60570dd540c4fb77fad807ef4926081aefb34f6b7f5e395c575d5aaaff1	148b00bc6bdb26c989a418f782ae415257995f2fe06d6d1c3c7bd34849735392		no
posts/huang-qi.html	b4710c36b258776cbc1b4967c21d662b5cf500f42df75b9b53fdb0012f0a2eac	f4879309605b12204520be8356c87a27a3ba207c079d23bbfcb1354ed6c9e784	?v=20260708-speechcases	no
posts/huang-xueqin-wang-jianbing.html	eb2a1a16bd790fc84c8a0efc539f1e691c3ca812fc8a8ca9d432d4c438d424c9	f34fb10727e67f2bfd69b52716230d1b1dae40e1726574ef3ede18209a103d41	?v=20260708-speechcases	no
posts/jiang-tianyong.html	2a38339c5f4c22e696b07a30d639c6803b92c250f974de95b8aef037ed06ee52	91149cb3f9c7dcb8202a249cb5bc9273700d60d5e74c20982f952d8310cb6e1e		no
posts/jiangyou-school-bullying-protests.html	facb0874eab590f9c88ba7f7c09e159e14d50a31e4d4c3c474d4e85f356b14e1	a9b573ff408862d088e6c23b0e07fded6998e86ccdd6e74ba33ac5eca1083ffd		no
posts/land-reform-anti-rightist.html	4097067cb1d6930ef44e11955684f4f397262b04021f5798fd140df7f4c943cb	2c69d539cddc00501ae89b8b71e00e1fa0cab9aba98a335ae8173f7917c3ee02		no
posts/li-wenliang.html	d78b776d3979582972adc2985e1fd9b517198179c797e70211c62e8bae2effbe	2557569fed2d9689b57d7a9b899e5f39348e9bd0cd2b1161fe8eed47cdb879a3		no
posts/li-zehua.html	43dc0fd6ed33cdd6ca640e0f6ab06e2086e7295f63039e0b34fc57b32a3b8dc2	c71be1f3d6c77aae46daaf531c2c35b4e413fb9759ea755f2834ab119370a2fb	?v=20260708-speechcases	no
posts/liu-xia.html	73cb1c31e29f99621e34136045a737e685e7f41ff4bdcd1997726c80ce836ef1	9059f1fc2f872d87d565daf11af9616b55cf0ab03a1c1ebd2f278d3cd2871d83		no
posts/liu-xiaobo.html	0bfb702b0b4ba2b9b180b1f6bcb5a8bad236bd9e409c04657049ad4e86542acc	6b202f9ddbcc161992cb5387b297eda5a8904f77e4a4f4ce6edd1787e746d837		no
posts/ningbo-xiaoluoxi-medical-case.html	97aedf89aad098282876ca1f2eac94e8b2a31149cf939f66ebe576e45b56b328	a92937fe8007238dd5e888c335d07f0e3e2de0b94837659bd83b665742972468		no
posts/niu-tengyu.html	d534e20cb25848c67626dcc82fb316b28ffd985e268a6e414a36e62534ec038e	06cd6388ee0b80afabcb9fa22495a3dea52dbdd7ab18d7e3d889ab79436283a8	?v=20260708-speechcases	no
posts/peng-zaizhou.html	c78182b9327c36a2ef4d92d491084e7123b3e565f12280357913ff4064b2ac45	077e6c6359e5b2b97ea5339f01e2ba6697fb8241b06d4e29111c015cfa6072e6		no
posts/press-freedom-2026.html	56d4755eaedb17fd8f8713a834e9d28989d0139d457b163c8b4d15b588c96450	d90c84abe4c361d6166769664ed0df861cffe7b22b82f985c069e517739646a2	?v=20260708-speechcases	no
posts/pucheng-student-death-protest.html	c4e17115371481ee9d0802224888e22dfd69dc41687d0a576ac3d77da57a0f7b	b655748186e45f73f748ffac8e56702aee9a97d15182f761d712ea43f512bd0f		no
posts/shanghai-lockdown.html	aea848de6670653e2dafee96536e74cce2ea5f3cc6237d6bcfa829933f1a7239	92c3092b3f054538a2a954b222be814995b08c2caeab09d3ad048accec3c9af1		no
posts/template.html	bade0505f7319891b99fdf77598504f835d8c42c240aba879c604228c550b18d	8c5d6161ab64b7b0407d0bdfe849cdb86a3223e5697f1d962b2cd56cd77bfc87	?v=20260708-speechcases	no
posts/terminus2049-chen-mei-cai-wei.html	45a569904414effeba9190513ffbc9955147121db1fb118c764dbc2f0198deea	3079a1be14d719c84fe0f263b088168f8e7d57de4876dd26f2117d3339e07017	?v=20260708-speechcases	yes
posts/tiananmen-1989.html	0c97602aed9594c3ad91a331f12cb4b82321eac961d68bb30cd1a5b4fe5068ed	4e1b4bb259e3a77e44db5f9826500d5b920ae638a8917fd78d03dee41fee2ee0		no
posts/tianshui-kindergarten-lead-poisoning.html	b3666e3945020a33c47bb0d27d87628369b1cb40a3cc05e85900611e4385c474	529d149b60283b82c38ea7c3325dfcc72663c6be6b9fc044b60ba2144f0312d3		no
posts/transnational-repression-2026.html	1fa252aa4bcfbb6ce18afd8e2a3eaecb255821d7114cf5c90a69e094e6935cfc	383307b7c90eeb65686f0c598adc6114546d0e2d0562a28794a63d5b5175d53d	?v=20260709-tnr2	no
posts/transnational-repression.html	b81f507efc59c94c338fe99817a2651ef8ea00a00c4ad47452ada590b22d9f8a	ff06f2ede0d0e302a9d7b6f8813a8b012a69ffff5ef3de2533983425ce976888		no
posts/wang-bingzhang.html	066672e1db5ddf929a648416eb8b59b952654b84f6ba5d3a6f66fc2249bc79ce	bca653fab754882bd894c96a3aeb4d0297cd4efc0862105df97e70cdb46d7a15		no
posts/wang-quanzhang.html	72fdb91b28a70dc87b1b0f3aea9db5c985ffd5a2d151177ac52b005d3d186524	720688ec9d9dadfda496d3a4f356aea8b38e040135a209cd0ad3c5ee0eb35e89		no
posts/white-paper.html	d5957a22c142beaa7f7b4b844ad104e58b2e8ccbaf232a09973a3ee2dd9cd586	5740685d17147f3a38fc8f3b5f701d657293aa3d367280f0b827cda293f387dd		no
