relative_path	sha256_before	sha256_after
posts/2024-report.html	fa6f9cfd2ddd6a9d1184ebf833088246279e92d7f17d8bd31b508fdae4ece325	947fcce2d351dda8ec13e78cf7be8c4827fdbf5856a535c56d4528d2487030d0
posts/2026-report.html	e409d98b94ebab50e0f20ff4764c3e5099a042499c9183e477a4056655127a79	333139c2a2fe001208ba8e35d6464f95c0677b298b38e3b76d7470f4e264efac
posts/709-crackdown.html	bad6502777c8801ca425865214830a7b62957bea64df6765c87817dfc8ccb0ce	ade759bbbbb358e33b6b1226b52ced01bdd70c6638e91f5c7b13f00df0c707d4
posts/ai-weiwei.html	1846f427c533b64d6caf9e9e79c34ae78aa7b2bbe22ecde63be96d927cbf2d10	318b237a70e3869ed0f0c2aba73affb500033d2c359bc5f515577839014adae0
posts/causeway-bay-books.html	44aee8b5006082d470ac9e2b7eac07bd10a6817f736abe1b21075053f0a1cf08	dfa0037b3963b30fc6720ee6ba2fe583a7d241e4a1e9a124e9cea7961c249f49
posts/chen-guangcheng.html	3429d8fba7c69962dcfef2e60f7d2602c71ef31a29b84d2e34c733300da46c18	dd69a089a3b105fd0c080a5d2c681b0dc54d83de8975792917a2b48f74f25d26
posts/chen-qiushi.html	499ffdab6a1d9784747eb6fc28329194dcff60994736b22b93a626eda30a2c4e	990a6a9f8dba1dd5d4e81e53265b26f2480de9a37e3f737f0cd27612c227b65e
posts/china-dissent-monitor-2025.html	4c94a86e00ca1e25b25e36a5ec28c5a61bed89cccecae4e71902daefd8df40b2	edf7c13d4f668ec537aca626cfcd9259b457c5ff638ed88f11ad1a230806b0e6
posts/china-human-rights-cases-supplement-2026.html	f8171dc6759e5b242f8aab2bca69444e89d42a5f152f4956abf0e25d44f23069	a0587634faa85d99a667b6b26417b1c60bdc16df2040157ff2721ae0947ad709
posts/cultural-revolution.html	2421ed4df70d89f71300129b0709916422254483f7744d6adb36fb8d6e9d7fd3	567488675845772d705dbb2f604e7134ccdb270e68e061a951a11fe65d078ea3
posts/dalai-lama-exile.html	d61917837cac4a02b33affcd4534de02331b87f54abcd896ec20c65223a271b6	31286d641a301607e0c59da3586348139681b8e86334df4ccc821df28eb56d68
posts/digital-surveillance.html	850b3bccedde335d80d75cf7702299b2af3ed0881177969cc829e3894bb736f9	93550d16397f11410b4ed46010531a3c34f9a7fa0668d477883ff43c53c06f58
posts/dong-yaoqiong-ink-protest.html	7765e8311f5d2ea1cbce3f72edf4c4124e3969f44211f84898590e97ee252567	bb357ff930324734dbd4d05481b3ef413661e227f5f965f8623765b58371d173
posts/falun-gong-persecution.html	785f0fda9eacf6b1844fa5e4e9528b06aef757b18deaaf36da45f418aa1ea274	f0dfbecf406c950ea3cf64bf665defb349212fbf05eca44f304d940ec02cf59e
posts/fang-bin-citizen-journalist.html	c26b32c578734b6541ca85e4114a5494d4af6aee8d006a0d52ea5d8daa0ac9f0	b32647ca253f3e793a3b670f4c6951e8a5dadb1d451b0bd67c7d7992b62c4e54
posts/feng-county-chained-woman.html	f1430b32d3b9cd38dd00557815f68ef9b1c3fda76500109a653430685f91ab67	de0ec4aeefad9594259e8ca2ea609e37d3d529019a8893944a43cca8f7e09b6a
posts/gao-yu.html	11c08d3d2f0bf943b151b96309a41892f1b3d213d16e40c9ccae71943d845caf	74ca805e8081c8d92e57314e04630214589ef54a6866c7b7dd822cbff8b4c2ec
posts/great-leap-famine.html	faa21af0e49c553537bf6d865cfa73e1df34d36a6d811bdf64d4adfdf0d1d9a6	851b5ac946aa4d8437c8b9db9fa59284d0253331a888f79acafdc8b06157fb4c
posts/guiyang-quarantine-bus-crash.html	37b639e2cc5bbdf7bcd8d9960a39e5845aacfa44183c1642ba0446a3e757ea09	cbd6c4836f73eea7962d9c88f0605de99c67c06ed9b2a518c9b0e46b96db755e
posts/henan-bank-depositor-protests.html	c04eebb99091aaf2a8caee7a9eb904f7c9a83aa6273769fc65adc870c0479ef3	299fc9ddae20a50a4b48dd9838737e3530c04c35032722e314fa7988da82b2b3
posts/hk-12.html	542ebec52799729b65f1fb6c293ac762fbd2ad106e32fab111dde1a5c81b0fa3	c1054305dfb0843e810ffab6a37101b466e3d6b88e4e921855c603cbcfbecba5
posts/hk-47.html	0c616aed0fe597d0b7bf0f9e066fb583a4b9defadc5c71f2d0ebe71e39a55986	db35a8d1075b4f1ebf61c109aa828bd3a7d6c6abb946e92305aaf93e8fcbad58
posts/hong-kong-nsl.html	6d5cd01db0d0bb7d7e4674fd870fd861736faf48ba1dbffbd4ff20f3ec7799a4	b323331244e800b77ab909146399ce4fb17a2b2be989f8d7f3507d6821aa03b7
