batch_tag	card_index	slug	scope	field	before_value	after_value	changed	integrity_result
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	slug	china-human-rights-cases-supplement-2026	china-human-rights-cases-supplement-2026	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_zh	中國人權案件補充檔案（2026）：人物與類別索引	中國人權案件補充檔案（2026）：人物與類別索引	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_en	Supplementary Archives of Human Rights Cases in China (2026): Person and Category Index	Supplementary Archives of Human Rights Cases in China (2026): Person and Category Index	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_ja	中国人権訴訟補足アーカイブ (2026): 人物およびカテゴリー索引	中国人権訴訟補足アーカイブ (2026): 人物およびカテゴリー索引	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_ko	중국 인권 사례 보충 기록 보관소(2026): 인물 및 범주 지수	중국 인권 사례 보충 기록 보관소(2026): 인물 및 범주 지수	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_es	Archivos complementarios de casos de derechos humanos en China (2026): índice de personas y categorías	Archivos complementarios de casos de derechos humanos en China (2026): índice de personas y categorías	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_de	Ergänzende Archive zu Menschenrechtsfällen in China (2026): Personen- und Kategorienindex	Ergänzende Archive zu Menschenrechtsfällen in China (2026): Personen- und Kategorienindex	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_fr	Archives supplémentaires des affaires relatives aux droits de l'homme en Chine (2026) : index des personnes et des catégories	Archives supplémentaires des affaires relatives aux droits de l'homme en Chine (2026) : index des personnes et des catégories	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_no	Supplerende arkiv over menneskerettighetssaker i Kina (2026): person- og kategoriindeks	Supplerende arkiv over menneskerettighetssaker i Kina (2026): person- og kategoriindeks	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_nl	Aanvullende archieven van mensenrechtenzaken in China (2026): persoons- en categorie-index	Aanvullende archieven van mensenrechtenzaken in China (2026): persoons- en categorie-index	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	title_it	Archivi supplementari di casi relativi ai diritti umani in Cina (2026): indice delle persone e delle categorie	Archivi supplementari di casi relativi ai diritti umani in Cina (2026): indice delle persone e delle categorie	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	excerpt_zh	本補充檔案按人物與案件類別整理截至2026年可公開查閱的材料；它不把律師、街頭抗議者、記錄者、宗教與少數群體或海外人士壓縮成同一種風險。	本補充檔案按人物與案件類別整理截至2026年可公開查閱的材料；它不把律師、街頭抗議者、記錄者、宗教與少數群體或海外人士壓縮成同一種風險。	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	excerpt_en	This supplement organizes publicly available material through 2026 by person and case category; it does not collapse lawyers, street protesters, documentaries, religious and minority groups, or people from abroad into the same risk.	This supplement organizes publicly available material through 2026 by person and case category; it does not collapse lawyers, street protesters, documentaries, religious and minority groups, or people from abroad into the same risk.	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	excerpt_ja	この補足では、2026 年までに公開された資料を人物および事件のカテゴリーごとに整理します。弁護士、街頭デモ参加者、ドキュメンタリー、宗教団体や少数派グループ、あるいは海外からの人々を同じ危険に陥らせることはありません。	この補足では、2026 年までに公開された資料を人物および事件のカテゴリーごとに整理します。弁護士、街頭デモ参加者、ドキュメンタリー、宗教団体や少数派グループ、あるいは海外からの人々を同じ危険に陥らせることはありません。	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	excerpt_ko	이 보충 자료는 2026년까지 공개적으로 이용 가능한 자료를 개인 및 사례 범주별로 정리합니다. 변호사, 거리 시위자, 다큐멘터리, 종교 및 소수 집단, 해외 사람들을 동일한 위험에 빠뜨리지 않습니다.	이 보충 자료는 2026년까지 공개적으로 이용 가능한 자료를 개인 및 사례 범주별로 정리합니다. 변호사, 거리 시위자, 다큐멘터리, 종교 및 소수 집단, 해외 사람들을 동일한 위험에 빠뜨리지 않습니다.	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	excerpt_es	Este suplemento organiza el material disponible públicamente hasta 2026 por persona y categoría de caso; no sume en el mismo riesgo a abogados, manifestantes callejeros, documentalistas, grupos religiosos y minoritarios, o personas del extranjero.	Este suplemento organiza el material disponible públicamente hasta 2026 por persona y categoría de caso; no sume en el mismo riesgo a abogados, manifestantes callejeros, documentalistas, grupos religiosos y minoritarios, o personas del extranjero.	NO	PASS_UNCHANGED
reread:batch10	1	china-human-rights-cases-supplement-2026	non-target	excerpt_de	Diese Ergänzung organisiert öffentlich zugängliches Material bis 2026 nach Personen- und Fallkategorie; Anwälte, Straßenprotestierende, Dokumentarfilmer, Religions- und Minderheitengruppen oder Menschen aus dem Ausland werden nicht dem gleichen Risiko ausgesetzt.	Diese Ergänzung organisiert öffentlich zugängliches Material bis 2026 nach Personen- und Fallkategorie; Anwälte, Straßenprotestierende, Dokumentarfilmer, Religions- und Minderheitengruppen oder Menschen aus dem Ausland werden nicht dem gleichen Risiko ausgesetzt.	NO	PASS_UNCHANGED
